event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC Fight Night: Reyes vs. Prochazka,2021-05-01,"Las Vegas, Nevada, USA",Luana Pinheiro,Luana Pinheiro,Randa Markos,Strawweight,DQ,1,4:16,3,Mark Smith,False,women,[],,,[],,
UFC Fight Night: Reyes vs. Prochazka,2021-05-01,"Las Vegas, Nevada, USA",Loma Lookboonmee,Loma Lookboonmee,Sam Hughes,Strawweight,Decision - Unanimous,3,5:00,3,Jason Herzog,False,women,[],,,[],,
UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Pat Sabatini,Pat Sabatini,Tristan Connelly,Featherweight,Decision - Unanimous,3,5:00,3,Josh Rutgers,False,men,[],,,[],,
UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Batgerel Danaa,Batgerel Danaa,Kevin Natividad,Bantamweight,KO/TKO,1,0:50,3,Herb Dean,False,men,[],,,[],,
UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Kazula Vargas,Kazula Vargas,Rongzhu,Lightweight,Decision - Unanimous,3,5:00,3,Keith Peterson,False,men,[],,,[],,
UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Jeff Molina,Jeff Molina,Aoriqileng,Flyweight,Decision - Unanimous,3,5:00,3,Josh Rutgers,False,men,[],,,[],,
UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Ariane Carnelossi,Ariane Carnelossi,Liang Na,Strawweight,KO/TKO,2,1:28,3,James Folsom,False,women,[],,,[],,
UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,"Las Vegas, Nevada, USA",Jessica Penne,Jessica Penne,Loopy Godinez,Strawweight,Decision - Split,3,5:00,3,Chris Tognoni,False,women,[],,,[],,
UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,"Las Vegas, Nevada, USA",Austin Hubbard,Austin Hubbard,Dakota Bush,Lightweight,Decision - Unanimous,3,5:00,3,Keith Peterson,False,men,[],,,[],,
UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,"Las Vegas, Nevada, USA",Tony Gravely,Tony Gravely,Anthony Birchak,Bantamweight,KO/TKO,2,1:31,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Vettori vs. Holland,2021-04-10,"Las Vegas, Nevada, USA",Mateusz Gamrot,Mateusz Gamrot,Scott Holtzman,Lightweight,KO/TKO,2,1:22,3,Jason Herzog,False,men,[],,,[],,
UFC Fight Night: Vettori vs. Holland,2021-04-10,"Las Vegas, Nevada, USA",John Makdessi,John Makdessi,Ignacio Bahamondes,Lightweight,Decision - Split,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Vettori vs. Holland,2021-04-10,"Las Vegas, Nevada, USA",Luis Saldana,Luis Saldana,Jordan Griffin,Featherweight,Decision - Unanimous,3,5:00,3,Jason Herzog,False,men,[],,,[],,
UFC Fight Night: Vettori vs. Holland,2021-04-10,"Las Vegas, Nevada, USA",Da Woon Jung,Da Woon Jung,William Knight,Light heavyweight,Decision - Unanimous,3,5:00,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Vettori vs. Holland,2021-04-10,"Las Vegas, Nevada, USA",Impa Kasanganay,Impa Kasanganay,Sasha Palatnikov,Welterweight,Submission,2,0:26,3,Chris Tognoni,False,men,[],,,[],,
UFC 260: Miocic vs. Ngannou,2021-03-27,"Las Vegas, Nevada, USA",Alonzo Menifield,Alonzo Menifield,Fabio Cherant,Light heavyweight,Submission,1,1:11,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Holland,2021-03-20,"Las Vegas, Nevada, USA",Montserrat Conejo Ruiz,Montserrat Conejo Ruiz,Cheyanne Vlismas,Strawweight,Decision - Unanimous,3,5:00,3,Mark Smith,False,women,[],,,[],,
UFC Fight Night: Brunson vs. Holland,2021-03-20,"Las Vegas, Nevada, USA",Adrian Yanez,Adrian Yanez,Gustavo Lopez,Bantamweight,KO/TKO,3,0:27,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Holland,2021-03-20,"Las Vegas, Nevada, USA",Tai Tuivasa,Tai Tuivasa,Harry Hunsucker,Heavyweight,KO/TKO,1,0:49,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Holland,2021-03-20,"Las Vegas, Nevada, USA",Montel Jackson,Montel Jackson,Jesse Strader,Bantamweight,KO/TKO,1,1:58,3,Keith Peterson,False,men,[],,,[],,
UFC Fight Night: Brunson vs. Holland,2021-03-20,"Las Vegas, Nevada, USA",Bruno Silva,Bruno Silva,JP Buys,Flyweight,KO/TKO,2,2:56,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Matheus Nicolau,Matheus Nicolau,Manel Kape,Flyweight,Decision - Split,3,5:00,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Charles Jourdain,Charles Jourdain,Marcelo Rojo,Featherweight,KO/TKO,3,4:31,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Rani Yahya,Rani Yahya,Ray Rodriguez,Bantamweight,Submission,2,3:09,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Nasrat Haqparast,Nasrat Haqparast,Rafa Garcia,Lightweight,Decision - Unanimous,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Jinh Yu Frey,Jinh Yu Frey,Gloria de Paula,Strawweight,Decision - Unanimous,3,5:00,3,Mike Beltran,False,women,"[{'Bookmaker': 'Betfair', 'Odds Price': 186}, {'Bookmaker': 'Betfair', 'Odds Price': 180}, {'Bookmaker': 'MyBookie.ag', 'Odds Price': 155}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 170}, {'Bookmaker': 'Bookmaker', 'Odds Price': 156}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 170}, {'Bookmaker': 'William Hill (US)', 'Odds Price': 160}, {'Bookmaker': 'DraftKings', 'Odds Price': 155}, {'Bookmaker': 'FanDuel', 'Odds Price': 154}, {'Bookmaker': 'Caesars', 'Odds Price': 165}, {'Bookmaker': 'FOX Bet', 'Odds Price': 163}, {'Bookmaker': 'Bovada', 'Odds Price': 160}]",164.0,"{'Odds': 186, 'Bookmaker': 'Betfair'}",[],,
UFC 259: Blachowicz vs. Adesanya,2021-03-06,"Las Vegas, Nevada, USA",Kennedy Nzechukwu,Kennedy Nzechukwu,Carlos Ulberg,Light heavyweight,KO/TKO,2,3:19,3,Herb Dean,False,men,"[{'Bookmaker': 'Betfair', 'Odds Price': 240}, {'Bookmaker': 'Betfair', 'Odds Price': 230}, {'Bookmaker': 'MyBookie.ag', 'Odds Price': 200}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 211}, {'Bookmaker': 'Bookmaker', 'Odds Price': 207}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 211}, {'Bookmaker': 'DraftKings', 'Odds Price': 200}, {'Bookmaker': 'FanDuel', 'Odds Price': 205}, {'Bookmaker': 'Caesars', 'Odds Price': 200}, {'Bookmaker': 'Bovada', 'Odds Price': 200}, {'Bookmaker': 'FOX Bet', 'Odds Price': 210}]",210.0,"{'Odds': 240, 'Bookmaker': 'Betfair'}",[],,
UFC 259: Blachowicz vs. Adesanya,2021-03-06,"Las Vegas, Nevada, USA",Trevin Jones,Trevin Jones,Mario Bautista,Bantamweight,KO/TKO,2,0:47,3,Chris Tognoni,False,men,[],,,[],,
